sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,bundler_initial,bundler_mode,categoryid,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,demo_product,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,michel_code,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,scott_code,selos_code,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,stamperija_code,stamp_continent,stamp_country,stamp_date,stamp_group,stamp_group1,stamp_group2,stamp_group3,stamp_product_type,stamp_specialoffers,stamp_year,status,tax_class_id,thumbnail,thumbnail_label,unknown_code,updated_at,url_key,url_path,visibility,weight,yvert_code,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
NIG16601a,,Default,grouped,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,Įjungta visi,,,,,2017-02-02 09:54:41,,,,,,,1,,,0,/N/I/NIG16601a_1.jpg,,,,,,,,,,,,Mushrooms,,,Block after Info Column,,,0,,,Mushrooms (Amanita muscaria; Xerocomus badius; Cantharellus cibarius; Leccinum versipelle),/N/I/NIG16601a_1.jpg,,,,,NIG16601a,Africa,NIGER,,Mushrooms,,,,,,2016,1,,/N/I/NIG16601a_1.jpg,,,2017-02-02 10:07:25,mushrooms,,4,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,NIG16601a-Perforated,,,,,,,,,,88,/N/I/NIG16601a.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIG16601a-Imperforated,,,,,,,,,,88,/N/I/NIG16601a_1.jpg,,2,0
NIG16601a-Perforated,,Default,simple,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:41,,,,,,,1,,,0,,,,,,,,,,,,,Mushrooms,,,Block after Info Column,,5.1,0,,,Mushrooms (Amanita muscaria; Xerocomus badius; Cantharellus cibarius; Leccinum versipelle),,,,,,NIG16601a,Africa,NIGER,,Mushrooms,,,,Perforated,,2016,1,2,,,,2017-02-02 10:07:26,mushrooms,,2,2,,1359,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,1,0,1,0,0,NIG16601a-Perforated12,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIG16601a-Perforated19694,,,,,,,,,,,,,,,,,,,,
NIG16601a-Perforated12,,Default,bundle,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:41,,,,,,,1,,,1,,,,,,,,,,,,,Mushrooms,,,Block after Info Column,,7.6,1,,,Mushrooms (Amanita muscaria; Xerocomus badius; Cantharellus cibarius; Leccinum versipelle),,,,,,NIG16601a,Africa,NIGER,,Mushrooms,,,,FDC,,2016,1,2,,,,2017-02-02 10:07:26,mushrooms,,2,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
NIG16601a-Perforated19694,,Default,bundle,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:41,,,,,,,1,,,1,,,,,,,,,,,,,Mushrooms,,,Block after Info Column,,5.1,1,,,Mushrooms (Amanita muscaria; Xerocomus badius; Cantharellus cibarius; Leccinum versipelle),,,,,,NIG16601a,Africa,NIGER,,Mushrooms,,,,CTO,,2016,1,2,,,,2017-02-02 10:07:26,mushrooms,,1,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
NIG16601a-Imperforated,,Default,simple,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:41,,,,,,,1,,,0,,,,,,,,,,,,,Mushrooms,,,Block after Info Column,,15,0,,,Mushrooms (Amanita muscaria; Xerocomus badius; Cantharellus cibarius; Leccinum versipelle),,,,,,NIG16601a,Africa,NIGER,,Mushrooms,,,,Imperforated,,2016,1,2,,,,2017-02-02 10:07:27,mushrooms,,2,2,,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,NIG16601a-Imperforated12786,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIG16601a-Imperforated35995,,,,,,,,,,,,,,,,,,,,
NIG16601a-Imperforated12786,,Default,bundle,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:41,,,,,,,1,,,1,,,,,,,,,,,,,Mushrooms,,,Block after Info Column,,17.5,1,,,Mushrooms (Amanita muscaria; Xerocomus badius; Cantharellus cibarius; Leccinum versipelle),,,,,,NIG16601a,Africa,NIGER,,Mushrooms,,,,FDC Imperf.,,2016,1,2,,,,2017-02-02 10:07:27,mushrooms,,2,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
NIG16601a-Imperforated35995,,Default,bundle,NIGER 21 12 2016 - Code: NIG16601a-NIG16613b,Stamperija,base,,,,,,,2017-02-02 09:54:41,,,,,,,1,,,1,,,,,,,,,,,,,Mushrooms,,,Block after Info Column,,15,1,,,Mushrooms (Amanita muscaria; Xerocomus badius; Cantharellus cibarius; Leccinum versipelle),,,,,,NIG16601a,Africa,NIGER,,Mushrooms,,,,CTO Imperf.,,2016,1,2,,,,2017-02-02 10:07:27,mushrooms,,1,,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
